street	city	price	sqms	sqmp	rooms	dos	qos	yoc
Nordvangsparken 15	3460 Birkerød	3634100	140	25958	6	2017-04-18	2017.2	1968-01-01
Tornevangsvej 56	3460 Birkerød	3e6	126	23810	5	2017-04-12	2017.2	1964-01-01
Skovvang 9	3460 Birkerød	34e5	124	27419	4	2017-04-03	2017.2	1967-01-01
Carl Plougs Vej 54	3460 Birkerød	57e5	200	28500	6	2017-03-30	2017.1	1970-01-01
Teglværksvej 54	3460 Birkerød	29e5	175	16571	7	2017-03-29	2017.1	1971-01-01
Pilegårdsparken 85	3460 Birkerød	46e5	197	23350	6	2017-03-28	2017.1	1967-01-01
Vagtelvej 18A	3460 Birkerød	3475e3	120	28958	3	2017-03-16	2017.1	1964-01-01
Henrik Gerners Vej 4	3460 Birkerød	28e5	68	41176	3	2017-03-15	2017.1	1738-01-01
Mosevangen 3	3460 Birkerød	405e4	193	20984	4	2017-03-14	2017.1	1958-01-01
Ludvig Jensens Vej 9	3460 Birkerød	585e4	187	31283	5	2017-03-02	2017.1	1933-01-01
Lindebo 7	3460 Birkerød	3625e3	161	22516	5	2017-02-26	2017.1	1960-01-01
Furesøbakken 2	3460 Birkerød	1075e4	289	37197	8	2017-02-26	2017.1	1980-01-01
Solbjærget 9	3460 Birkerød	38e5	93	40860	4	2017-02-23	2017.1	1952-01-01
Kløvervænget 4	3460 Birkerød	475e4	162	29321	6	2017-02-22	2017.1	1956-01-01
Bistrupvej 57	3460 Birkerød	36e5	234	15385	6	2017-02-22	2017.1	1900-01-01
Bregnebakken 8	3460 Birkerød	45e5	151	29801	5	2017-02-20	2017.1	1989-01-01
Kajerødvej 87	3460 Birkerød	4775e3	146	32705	6	2017-02-17	2017.1	1947-01-01
Birkebakken 82	3460 Birkerød	535e4	156	34295	4	2017-02-14	2017.1	1956-01-01
Birkebakken 69	3460 Birkerød	615e4	199	30905	6	2017-02-06	2017.1	1954-01-01
Slåenbakken 28	3460 Birkerød	475e4	189	25132	7	2017-02-01	2017.1	1960-01-01
Munkerisparken 6	3460 Birkerød	3505e3	161	21770	4	2017-01-27	2017.1	1973-01-01
Plantagevej 13	3460 Birkerød	4e6	192	20833	7	2017-01-24	2017.1	1949-01-01
Biskop Svanes Vej 44	3460 Birkerød	455e4	256	17773	8	2017-01-23	2017.1	1967-01-01
Marianelundsvej 5	3460 Birkerød	435e4	135	32222	6	2017-01-20	2017.1	1950-01-01
Carinavænget 4	3460 Birkerød	355e4	128	27734	4	2017-01-20	2017.1	1970-01-01
Carinaparken 67	3460 Birkerød	1875e3	181	10359	6	2017-01-18	2017.1	1966-01-01
Fredensvej 13	3460 Birkerød	52e5	156	33333	7	2017-01-13	2017.1	2012-01-01
Lerbakken 13	3460 Birkerød	42e5	188	22340	6	2017-01-12	2017.1	1968-01-01
Nobisvej 26	3460 Birkerød	486e4	225	21600	7	2017-01-12	2017.1	1978-01-01
Hasselbakken 16	3460 Birkerød	3225e3	151	21358	5	2017-01-11	2017.1	1959-01-01
Ravnsnæsvej 105	3460 Birkerød	865e4	169	51183	5	2017-01-09	2017.1	1965-01-01
Lindehøj Vænge 13	3460 Birkerød	33e5	163	20245	7	2017-01-05	2017.1	1963-01-01
Egebakken 4	3460 Birkerød	64e5	177	36158	9	2017-01-04	2017.1	1955-01-01
