street	city	price	sqms	sqmp	rooms	dos	qos	yoc	lon	lat
Nordvangsparken 15	3460 Birkerød	3634100	140	25958	6	2017-04-18	2017.2	1968-01-01	12.423749	55.82821999999999
Tornevangsvej 56	3460 Birkerød	3e6	126	23810	5	2017-04-12	2017.2	1964-01-01	12.411994	55.844282
Skovvang 9	3460 Birkerød	34e5	124	27419	4	2017-04-03	2017.2	1967-01-01	12.44045	55.855069
Carl Plougs Vej 54	3460 Birkerød	57e5	200	28500	6	2017-03-30	2017.1	1970-01-01	12.461178	55.862921
Teglværksvej 54	3460 Birkerød	29e5	175	16571	7	2017-03-29	2017.1	1971-01-01	12.412084	55.846761
Pilegårdsparken 85	3460 Birkerød	46e5	197	23350	6	2017-03-28	2017.1	1967-01-01	12.405093	55.842477
Vagtelvej 18A	3460 Birkerød	3475e3	120	28958	3	2017-03-16	2017.1	1964-01-01	12.4431	55.84835
Henrik Gerners Vej 4	3460 Birkerød	28e5	68	41176	3	2017-03-15	2017.1	1738-01-01	12.428834	55.840801
Mosevangen 3	3460 Birkerød	405e4	193	20984	4	2017-03-14	2017.1	1958-01-01	12.4202839	55.8396353
Ludvig Jensens Vej 9	3460 Birkerød	585e4	187	31283	5	2017-03-02	2017.1	1933-01-01	12.4158326	55.8445964
Lindebo 7	3460 Birkerød	3625e3	161	22516	5	2017-02-26	2017.1	1960-01-01	12.422431	55.834857
Furesøbakken 2	3460 Birkerød	1075e4	289	37197	8	2017-02-26	2017.1	1980-01-01	12.431126	55.81604799999999
Solbjærget 9	3460 Birkerød	38e5	93	40860	4	2017-02-23	2017.1	1952-01-01	12.4314647	55.855453
Kløvervænget 4	3460 Birkerød	475e4	162	29321	6	2017-02-22	2017.1	1956-01-01	12.418264	55.837255999999996
Bistrupvej 57	3460 Birkerød	36e5	234	15385	6	2017-02-22	2017.1	1900-01-01	12.4307175	55.83419120000001
Bregnebakken 8	3460 Birkerød	45e5	151	29801	5	2017-02-20	2017.1	1989-01-01	12.4328936	55.8232368
Kajerødvej 87	3460 Birkerød	4775e3	146	32705	6	2017-02-17	2017.1	1947-01-01	12.4213106	55.8391853
Birkebakken 82	3460 Birkerød	535e4	156	34295	4	2017-02-14	2017.1	1956-01-01	12.444523	55.826593
Birkebakken 69	3460 Birkerød	615e4	199	30905	6	2017-02-06	2017.1	1954-01-01	12.4430624	55.8267316
Slåenbakken 28	3460 Birkerød	475e4	189	25132	7	2017-02-01	2017.1	1960-01-01	12.428017	55.820999
Munkerisparken 6	3460 Birkerød	3505e3	161	21770	4	2017-01-27	2017.1	1973-01-01	12.422396	55.832637
Plantagevej 13	3460 Birkerød	4e6	192	20833	7	2017-01-24	2017.1	1949-01-01	12.427267	55.823906
Biskop Svanes Vej 44	3460 Birkerød	455e4	256	17773	8	2017-01-23	2017.1	1967-01-01	12.450646	55.846574
Marianelundsvej 5	3460 Birkerød	435e4	135	32222	6	2017-01-20	2017.1	1950-01-01	12.447015	55.84545300000001
Carinavænget 4	3460 Birkerød	355e4	128	27734	4	2017-01-20	2017.1	1970-01-01	12.416504	55.84634430000001
Carinaparken 67	3460 Birkerød	1875e3	181	10359	6	2017-01-18	2017.1	1966-01-01	12.4139792	55.8472239
Fredensvej 13	3460 Birkerød	52e5	156	33333	7	2017-01-13	2017.1	2012-01-01	12.438613	55.843324
Lerbakken 13	3460 Birkerød	42e5	188	22340	6	2017-01-12	2017.1	1968-01-01	12.4183	55.846031
Nobisvej 26	3460 Birkerød	486e4	225	21600	7	2017-01-12	2017.1	1978-01-01	12.447087	55.839949
Hasselbakken 16	3460 Birkerød	3225e3	151	21358	5	2017-01-11	2017.1	1959-01-01	12.430761	55.822055
Ravnsnæsvej 105	3460 Birkerød	865e4	169	51183	5	2017-01-09	2017.1	1965-01-01	12.449463	55.853782
Lindehøj Vænge 13	3460 Birkerød	33e5	163	20245	7	2017-01-05	2017.1	1963-01-01	12.4225816	55.8529922
Egebakken 4	3460 Birkerød	64e5	177	36158	9	2017-01-04	2017.1	1955-01-01	12.4406625	55.82512149999999
Granbakken 2	3460 Birkerød	3e6	179	16760	7	2016-12-29	2016.4	1963-01-01	12.442808	55.828075
Eskemosegårds Alle 23	3460 Birkerød	4e6	132	30303	4	2016-12-27	2016.4	1973-01-01	12.4412495	55.8525169
Vandtårnsvej 16B	3460 Birkerød	635e4	264	24053	7	2016-12-23	2016.4	1963-01-01	12.442845	55.84492299999999
Furesøparkalle 33	3460 Birkerød	52e5	173	30058	5	2016-12-18	2016.4	1989-01-01	12.435951	55.822045
Carinaparken 64	3460 Birkerød	49e5	197	24873	6	2016-12-16	2016.4	1975-01-01	12.416321	55.8516004
Hestkøb Alle 2	3460 Birkerød	435e4	146	29795	4	2016-12-15	2016.4	1978-01-01	12.4213375	55.836398
Hestkøb Vænge 71	3460 Birkerød	408e4	136	3e4	4	2016-12-13	2016.4	1973-01-01	12.4157767	55.83463459999999
Bregnerødvej 52	3460 Birkerød	375e4	124	30242	4	2016-12-12	2016.4	1983-01-01	12.417309	55.8386493
Birkebakken 34B	3460 Birkerød	4e6	156	25641	6	2016-12-08	2016.4	1963-01-01	12.435319	55.82538899999999
Hyrebakken 15	3460 Birkerød	29e5	158	18354	2	2016-12-05	2016.4	1814-01-01	12.366629	55.84478859999999
Kløvervænget 13	3460 Birkerød	3705e3	150	24700	6	2016-11-30	2016.4	1956-01-01	12.4176105	55.8368469
Stenhøjgårdsvej 78	3460 Birkerød	52e5	230	22609	7	2016-11-30	2016.4	1972-01-01	12.41846	55.85767000000001
Trenkærvang 12	3460 Birkerød	415e4	159	26101	4	2016-11-28	2016.4	1954-01-01	12.422042	55.847689
